Label,,,Text
0,,,නෙතින් ඉගිකළ කතාවක් වෙද. හදින් මිමිනූ කවි පදක් වෙද. වෙලාගත් මසිත උත්තරීතර ප්‍රේමය. ඔබම පමනයි මා කවිකාරියක් කළ
0,,,"ඔබ දන්නවාද? දැනට හදුනාගෙන ඇති විශාලතම ප්‍රථමක සංඛ්‍යාව 274,207,281 -1 වේ.මේ සංඛ්‍යාවේ ඉලක්කම් 22,338,618ක් අඩංගුය. ඔබ නොදත් තතු අපෙන් දැනගන්න!"
0,,,"""අපි ඉතිං ගම් වල මිනිස්සුනෙ... අපිට ඉංගිරිසි බෑ.. ටවුමෙ පන්ති වලට යවලා ළමයින්ට කොම්පියුටර් උගන්නන්ට අපිට තේරුමකුත් නෑ.... ඒ උනාට ඕං ගමේ ඉස්කෝලෙටත් කොම්පියුටර් ගෙනල්ලා විද්දියාගාරෙකුත් හදලා... කවුද හිතුවේ අපේ ගං වල ඉස්කෝල වලටත් ඒ වගේ දේවල් ඒවි කියලා... දැං අපේ පුංචි එකීත් යසට කොම්පියුටර් ඉගෙන ගන්නවා... ඒකි ලොකු උනාම අපිට ආඩම්බර හිතෙන තැනක රස්සාවක් කරන්ට ඇහැකි වෙයි... අපේ ළමයින්ට අනාගතයක් හැදුවෙ අපේ ජනාදිපතිතුමා විතරයි..."" අපි හැමදාමත් මහින්ද මහත්තයට. කුරුණෑගලින් මහින්ද රාජපක්‍ෂ. රටට පණ දෙමු අලුතෙන්ම පටන් ගමු."
0,,,"දේශපාලන ගමන. මහාමාර්ග හා ආයෝජන ප්‍රවර්ධන නියෝජ්‍ය අමාත්‍යධූරය හොබවයි. කැපී පෙනෙන පාර්ලිමේන්තු මන්ත්‍රීවරයෙකි. ඊ ශ්‍රීලංකා වැඩසටහන ආරම්භ කිරීමේ පුරෝගාමියෙකි. ආර්ථික ප්‍රතිසංස්කරණ, විද්‍යා හා තාක්ෂණ අමාත්‍යංශයේ උපදේශකවරයෙකි. මෙරට ප්‍රථම තොරතුරු තාක්ෂණය සම්බන්ධ පණත පාර්ලිමේන්තුවට ගෙන ඒමට මුල් වූවෙකි. පෞද්ගලික දිවියේ ජයග්‍රහණ. අයිසන්හවර් සාමාජිකත්වය හිමිවීම. ජාතික සංවර්ධන බැංකුවේ (එන්.ඩී.බී) අධ්‍යක්ෂකවරයා. ප්‍රධාන විධායක නිළධාරියා ලෙස සේවය කිරීම. සිටි බැංකුවේ උප ප්‍රධානියා ලෙස සේවය කිරීම. ආයෝජන ප්‍රවර්ධන මණ්ඩලයේ උපදේශකවරයෙකු, අධ්‍යක්ෂකවරයෙකු ලෙස කටයුතු කිරීම. ශ්‍රීලංකා තොරතුරු තාක්ෂණ ආයතනය (ICTA) ස්ථාපිත කිරීමට දායකත්වය ලබාදීම හා එහි පළමු සභාපතිවරයා ලෙස සේවය කිරීම. දැක්ම අපේ රටට ගැළපෙන්නේ සමාජ ආර්ථික ක්‍රමයක්, ඒ කියන්නේ ආර්ථික ගොඩනගන්නට අපි ආයෝජනය කරන්න ඕනේ ජනතාව මත. ඔවුන්ට හොද අධ්‍යාපනයක් ලබාදීමෙන්, රැකියා අවස්ථා වලට මාර්ගය විවර කරදීමෙන් තමයි රටේ සංවර්ධනය බලාපොරොත්තු වෙන්න පුළුවන්. ඉරාන් වික්‍රමරත්න"
0,,,"නිධානයක් මතු කරල පෙන්වනවා වගේ දුටු වරද පෙන්වා දෙන, වරදට ගරහා කරන, ඤාණවන්ත උත්තමයින්වයි ඇසුරු කරන්ට ඕන.ඤාණවන්ත උතුමන් ඇසුරු කරනකොට යහපතක් මිස අයහපතක් නම් සිද්ධ වෙන්නෙ නෑ. සාරිපුත්ත රහත් මුනිඳුන්"
0,,,ඔහු රට ඉදිරියට ගෙනයෑමට දැක්මක් ඇති අයෙක් වෘත්තිකයෙකු ලෙස වසර ගණනාවක අත්දැකීම් වලින් පන්නරය ලැබුවෙක්. කිවයුතු දේ නොබියව ප්‍රකාශ කරන්නෙක්. දේශපාලනය තමන්ගේ පෞද්ගලික වාසියට යොදනොගන්නෙක්. අධ්‍යාපනය සංවර්ධනය කරන්නට සැබෑ වුවමනාවක් ඇත්තෙක්. ඉරාන් අපි වෙනුවෙන් අපේම කෙනෙක්. එක්සත් ජාතික පක්ෂය
0,,,"""බැංකුකරුවෙකු ලෙස ගතකළ කාලයේදී මගේ සගයින් මාව හැදින්වුයේ සිහින දකින්නෙක් හැටියට. ඔව් මම සිහින දකින්නෙක්. ඒ වගේම ඒ සිහින සැබෑ කරගන්නෙක්. දැන් මගේ සිහිනය තමයි සෑම අතකින්ම සංවර්ධනය වෙන ශ්‍රීලංකාවක් දැකීම ඒ සිහිනය සැබෑ වෙන පළමු පියවර පසුගිය ජනවාරි මස 8 වැනිදා තැබුණා. ඒ පටන් ගත් ගමනේ ඉතිරි පියවර 17 වැනිදා සිට තබන්න හැකිවන බව මට විශ්වාසයි. ඉරාන් අපි වෙනුවෙන් අපේම කෙනෙක්. එක්සත් ජාතික පක්ෂය"
0,,,"""අපට තිබෙන ලොකුම සම්පත තමයි අපේ දරුවන්. මේ රට ඉදිරියට ගෙනයන්න නම් අපි ඔවුන්ගේ අනාගතය ගොඩනගන්න ඕනේ. නිර්මණ්ශිලී හැකියාව, ව්‍යවසායකත්ව ගතිගුණ ඔප් නැංවෙන අධ්‍යාපනයක් දරුවන්ට ලබාදීමෙන් තමයි එය කළ හැකි වන්නේ. ඉරාන් අපි වෙනුවෙන් අපේම කෙනෙක්. එක්සත් ජාතික පක්ෂය"
0,,,"දැන් ඔබේ වාරයයි. මැතිවරණ කොමසාරිවරයාගේ ඉල්ලීමට ගරු කරමින් අද මධ්‍යම රාත්‍රියේ සිට මැතිවරණය අවසන් වන තෙක් මෙම පිටුව කිසිඳු මැතිවරණ ප්‍රචාරණ කටයුත්තකට මම යොදාගන්නේ නැහැ. මේ දක්වාම මා සමග සිටියාට, සහය දැක්වූවාට ඔබට බෙහෙවින්ම ස්තුතියි. අපි දැන් එක්වෙමු.ගෞරවාන්විත අනාගතයක් ගොඩනගමු. ගෞරවාන්විත රටක් තනමු."
0,,,ඔබ දන්නවාද? ගිනිකඳු පිපිරීම් වලින් 80%ක්ම සිදුවන්නේ මුහුදු පත්ලේය. ඔබ නොදත් තතු අපෙන් දැනගන්න
