Label,Text
0,ඇස ගැටෙන කතාවක්. හෘදයාංගම කවියක්. මසිත උත්තරීතර ප්‍රේමයෙන් වෙලාගත්තා. මාව කවියෙක් කළේ ඔබ පමණයි
0,"ඔබ දන්නවාද? දැනට හඳුනාගෙන ඇති විශාලතම ප්‍රාථමක සංඛ්‍යාව 274,207,281 -1 වේ. මෙම අංකයේ ඉලක්කම් 22,338,618 ක් අඩංගු වේ. ඔබ නොදන්නා දේ අපට දන්වන්න!"
0,"“ඉතිං අපි ගමේ මිනිස්සු ... අපිට ඉංග්‍රීසි බෑ .. නගරයේ පරිගණක පන්තිවලට ළමයින් යැවීම තේරුමක් නැත. දැන් අපේ පොඩි එකා පරිගණක ඉගෙන ගන්නවා. ඇය වැඩෙන විට අපට ආඩම්බර වන ස්ථානයක රැකියාවක් කිරීමට හැකි වේ ... අපේ දරුවන්ට අනාගතයක් ඇති කළේ අපේ ජනාධිපතිතුමා පමණයි. ""අපි සැම විටම මහින්ද මහතා වෙනුවෙන් සිටියෙමු. මහින්ද රාජපක්ෂ කුරුණෑගලින්. රට පුනර්ජීවනය කර නැවත ආරම්භ කරමු."
0,"දේශපාලන ගමන. මහාමාර්ග හා ආයෝඡන ප්‍රවර්ධන නියෝජ්‍ය ඇමති, කැපී පෙනෙන පාර්ලිමේන්තු මන්ත්‍රීවරයෙක්. ඊ ශ්‍රී ලංකා වැඩසටහන ආරම්භ කිරීමේ පුරෝගාමියෙකි. ආර්ථික ප්‍රතිසංස්කරණ, විද්‍යා හා තාක්‍ෂණ අමාත්‍යාංශයේ උපදේශක. ඔහු මෙරට ප්‍රථම තොරතුරු තාක්‍ෂණ පනත පාර්ලිමේන්තුවට ඉදිරිපත් කළ අයෙකි. පෞද්ගලික ජීවිතයේ ජයග්‍රහණ. අයිසන්හවර් සාමාජිකත්වය. ජාතික සංවර්ධන බැංකුවේ අධ්‍යක්ෂ, ජාතික සංවර්ධන බැංකුවේ (එන්ඩීබී) ප්‍රධාන විධායක නිලධාරී ලෙසත්, බැංකු උප සභාපතිවරයා ලෙසත්, ආයෝජන ප්‍රවර්ධන මණ්ඩලයේ උපදේශකයෙකු ලෙසත් අධ්‍යක්‍ෂක ලෙසත් සේවය කිරීම. ශ්‍රී ලංකා තොරතුරු තාක්‍ෂණ ආයතනය (ICTA) පිහිටුවීමට දායක වූ අතර එහි පළමු සභාපතිවරයා ලෙස ද කටයුතු කළේය. දැක්ම සමාජ ආර්ථික ක්‍රමයක් අපේ රටට ගැලපේ, එනම් ආර්ථිකය ගොඩනැගීම සඳහා අපි ජනතාව තුළ ආයෝඡනය කළ යුතුයි. රටේ දියුණුව බලාපොරොත්තු විය හැක්කේ ඔවුන්ට හොඳ අධ්‍යාපනයක් ලබා දීමෙන් සහ රැකියා අවස්ථා සඳහා මාවත සකස් කිරීමෙන් පමණි. එරාන් වික් රමරත්න"
0,"නිධානයක් පෙන්වනවා වගේ වැරදි පෙන්වා දෙන නුවණැති උත්තමයින් ඇසුරු කිරීම අවශ්‍ය වන අතර, ප්‍රඥාවන්තයින් ඇසුරු කරන විට යහපතක් මිස හානියක් නැත. සාරිපුත්ත මහරහතන් වහන්සේ"
0,ඔහුට රට ඉදිරියට ගෙන යාමේ දැක්මක් ඇති අතර වෘත්තිකයෙකු වශයෙන් වසර ගණනාවක පළපුරුද්දක් ඇති අයෙක්. කිව යුතු දේ නිර්භීතව ප්‍රකාශ කරන පුද්ගලයෙක්. තමන්ගේ පෞද්ගලික වාසි තකා දේශපාලනය භාවිතා නොකරන අයෙක්. අධ්‍යාපනය දියුණු කිරීමට සැබෑ ආශාවක් ඇති අයෙක්. ඉරාන් අපි වෙනුවෙන් අපේම කෙනෙක්. එක්සත් ජාතික පක්ෂය
0,"""මම බැංකුකරුවෙකු ලෙස සිටියදී, මගේ සගයන් මාව හැඳින්වූයේ සිහින දකින්නෙකු ලෙස ය. ඔව්, මම සිහින දකින්නෙක් සහ සිහින සැබෑ කරගන්නෙක්. දැන් මගේ සිහිනය වන්නේ සෑම අතින්ම දියුණු වන ශ්‍රී ලංකාවක් දැකීමයි. ගමනේ ඉතිරි පියවර 17 දා සිට ගත හැකිය කියා මට විශ්වාසයි. ඉරාන් අපි වෙනුවෙන් අපේම කෙනෙක්. එක්සත් ජාතික පක්ෂය"
0,"""අපට තිබෙන ලොකුම වත්කම අපේ දරුවන් ය. මේ රට ඉදිරියට ගෙන යාමට නම් ඔවුන්ගේ අනාගතය ගොඩනැගිය යුතු ය. දරුවන්ගේ නිර්මාණශීලිත්වය සහ ව්‍යවසායකත්ව ගුණාංග වැඩි කරන අධ්‍යාපනයක් ලබා දීමෙන් අපට මෙය කළ හැකිය. ඉරාන් අපි වෙනුවෙන් අපේම කෙනෙක්, එක්සත් ජාතික පක්ෂය"" ."
0,දැන් මේ ඔබේ වාරයයි. මැතිවරණ කොමසාරිස්වරයාගේ ඉල්ලීම පරිදි මම අද මධ්‍යම රාත්‍රියේ සිට මැතිවරණය අවසන් වන තුරු කිසිදු මැතිවරණ ප්‍රචාරක කටයුත්තකට මෙම පිටුව භාවිතා නොකරමි. මෙතෙක් මා සමඟ සිටීම ගැන සහ ඔබේ සහයෝගයට බොහෝම ස්තූතියි. අපි දැන් එකතු වෙමු. අපි ගෞරවනීය අනාගතයක් ගොඩනඟමු. ගෞරවනීය රටක් හදමු.
0,ඔබ දන්නවාද? ගිනිකඳු පිපිරීම් වලින් 80% ක් පමණ මුහුදු පත්ලේ සිදු වේ. ඔබ නොදන්නා දේ අපට දන්වන්න
0,ඔබ දන්නවාද? ලොව මෙතෙක් වාර්තා වී ඇති දීර්ඝතම ගර්භණී කාලය වසරක් සහ දින 10 කි. ඔබ නොදන්නා දේ අපට දන්වන්න!
0,ඔබ දන්නවාද? Firefox ලාංඡනය නරියා නොව රතු පැන්ඩා ය. ඔබ නොදන්නා දේ අපට දන්වන්න!
0,ඔබ දන්නවාද? මෙක්සිකෝවේ ලොව විශාලතම පිරමීඩය ඇත. ඔබ නොදන්නා දේ අපට දන්වන්න!
0,ඔබ දන්නවාද? ධවල මන්දිරයේ ආහාර සහ අනෙකුත් වියදම් සඳහා එක්සත් ජනපද ජනාධිපතිවරයාගෙන් මාසික ගාස්තුවක් අය කෙරේ. ඔබ නොදන්නා දේ අපට දන්වන්න!
0,ඔබ දන්නවාද? ලොව සහල් වලින් 90% ක් පරිභෝජනය කරන්නේ ආසියාවේ ය. ඔබ නොදන්නා දේ අපට දන්වන්න !;
0,ඔබ දන්නවාද? ලොව කුඩාම මුවාගේ උස අඟල් 14 ක් පමණ වේ. ඔබ නොදන්නා දේ අපට දන්වන්න
0,ඔබ දන්නවාද? කි.මී 800 ට වඩා වැඩි දුරකින් ඩෙසිබල් 188 ක් හඬ නිකුත් කරන නිල් තල්මසා ලොව විශාලතම සත්වයා වේ. ඔබ නොදන්නා දේ අපට දන්වන්න!
0,ඔබ දන්නවාද? ලොව මුලින්ම මුදල් නෝට්ටු භාවිතා කළ පුද්ගලයින් වූයේ චින්නුන්ය. ඔබ නොදන්නා දේ අපට දන්වන්න!
0,මට කිරි ප්‍රමාණවත් නැහැ
0,"එන්න, ඉදිරියට යන්න. එක්සත් ජාතික පක්ෂය සැප්තැම්බර් 10 වෙනිදා පෙ.ව. 9 ට කැම්බල් පිටියේදී. නව රටක ඉදිරියට යාමට කැමති අය එන්න."
0,ඔබ දන්නවාද? බ්‍රසීලයේ ‘රියෝ’ යන්න උච්චාරණය කරන්නේ ‘හියෝ’ යනුවෙනි. ඔබ නොදන්නා දේ අපට දන්වන්න!
0,144. සද්ධර්ම යාත්‍රාව - 8 (ධර්ම දේශනය - ඇඩිලේඩ්) පූජ්‍ය කිරිබත්ගොඩ ඤාණානන්ද ස්වාමීන් වහන්සේ විසින් 2016-11-10 දින ඕස්ට්‍රේලියාවේ ඇඩිලේඩ් හිදී ධර්ම දේශනයක් පවත්වන ලදී.
0,සද්ධර්ම යාත්‍රාව - 12 (ධර්ම දේශනය - සිඩ්නි) පූජ්‍ය. කිරිබත්ගොඩ ඤාණානන්ද හිමියන් 2016-11-18 දින ඕස්ට්‍රේලියාවේ සිඩ්නි හිදී ධර්ම සාකච්ඡාවක් පැවැත්වූහ ...
0,දැනුම සොයන ඔබ වෙනුවෙන්. විල්පත්තු ජාතික වනෝද්‍යානය ශ්‍රී ලංකාවේ ඇති විශාලතම ජාතික වනෝද්‍යානයයි
0,කුඩා දේ ලොකුවට සිතන්න එපා .. වචන වල එල්ලී නොසිටින්න .. ඕනෑම කෙනෙක්ට වරදින බව සලකන්න .. ජීවිතය සැහැල්ලුවෙන් ගත කරන්න ..
0,බුදුරජාණන් වහන්සේගේ උපත ලෝකයට මහත් භාග්‍යයකි. නිර්මල ධර්මය දේශනා කිරීමත් සැපයක්. (ජේතවනාරාමයේ බොහෝ භික්ෂූන් වහන්සේලා ගැන ගාථාවක්)
0,"සඳුන් සුවඳක් තිබේ නම් එය සුළු සුවඳක් වන අතර, සිල්වතුන්ගේ සුවඳක් තිබේ නම් එය දෙව්ලොව දක්වා පැතිර යයි."
0,බලාපොරොත්තු තිබේ නම් ඒවා බිඳ වැටීමෙන් දුක ඇතිවේ. බලාපොරොත්තුවක් නැත්නම් දුකක්ද නැත ...
0,හදවත පිරිසිදු කරන්න
0,"රාගය සොයන බොහෝ දෙනා අතර ශිලය රකිමින්, සමාධිය, ප්‍රඥාව වඩන නිර්වාණය සොයා යන්නන් අතරට එක්වන්න ... බුදුන්ගේ මාවත අනුගමනය කරන්න ... !!!"
0,පාසල් දරුවන්ට නොමිලේ තෑග්ගක්. අපේ රටේ පාසල් දරුවන්ගේ අනාගත දියුණුව සහ සදාචාරාත්මක දියුණුව පදනම් කරගෙන කිරිබත්ගොඩ ඤාණානන්ද ස්‌වාමින් වසන්සේගේ හඬින් සෑම උදෑසනකම විනාඩි 10 ක කාලයක් පාසල් සිසුන්ට කියවිය හැකි පද කිහිපයක් සකස් කොට තිබේ. 
0,දැනුම සොයන ඔබ වෙනුවෙන්. අතිගරු ජේආර් ජයවර්ධන යනු ශ්‍රී ලංකාවේ ජනාධිපති ලෙස තේරී පත් වූ වයස්ගතම පුද්ගලයා ය.
0,දැනුම සොයන ඔබ වෙනුවෙන්. ස්කොට්ලන්තයේ ජාතික සත්වයා වන්නේ කඟවේනා ය.
0,ආදරය කරන්න ඈත් වීමට උත්සාහ කරන අයට නොවේ. දුර හිටියත් ආදරය කරන අය සඳහා.
0,නිවන් දැකීමට ...
0,දැනුම සොයන ඔබ වෙනුවෙන්. පැනමා ඇළ තැනීමට උදව් කළ ඇමරිකානු ජනාධිපති තියඩෝර් රූස්වෙල්ට්.
0,ජයග්‍රහණයේදී ඔබට අත්පොළසන් දෙන අය පරාජය වෙද්දී ඔබව හැර යයි.
0,කිසිවක් මගේ නොවන විට. ඇයි උනන්දුවෙන් එකතු කරන්නේ. ඔබට දිනක දමා යන්නට වේනම්. ඇයි දිරා යන රූපයට අයිතියක්.
0,"මනුෂ්‍යත්වය නොමැතිව, අධ්‍යාපනය, ධනය, අලංකාරය, කිසිවක් වැදගත් නොවේ"
0,දැනුම සොයන ඔබ වෙනුවෙන්. D.W. Griffith සිනමාවේ පියා ලෙස සැලකේ.
0,"මනුෂ්‍යයන්, දෙවිවරුන්, භූතයන් සහ ආත්මයන්ගෙන් යුත් මේ ලෝක තුන තුළ සමහර ජීවීන්, අත් පා, සිව්පාවා, බහු කකුල්, හැඩ සහිත, හැඩ රහිත ජීවීන් ඇත. එසේ කරන තැනැත්තාට අවසාන විපාකය ලැබෙනු ඇත."
0,"ධර්මය පහසුවෙන් අවබෝධ කර ගැනීම සඳහා වූ පොත් මාලාවේ නවතම සදහම් පොත් 22 වන කොටස, පූජ්‍ය හාමුදුරුවෝ විසින් රචිත සියලුම සදහම් පොත් සහ ධර්ම දේශනා ඔබට ලබා ගත හැකිය."
0,සෑම විටම සතුටින් සිටීමට උත්සාහ කරන්න. කුමක් ද? හෙට යනු බලාපොරොත්තුවක් පමණි
0,නවතම සදහම් ග්‍රන්ථ සුමනා දේවි නවතම ළමා සදහම් සිතුවම් පොත සුමනා දේවි සුමතිපාල - ජෝතිපාල විසින් පින්තාරු කරන ලද්දේ පූජ්‍ය කිරිබත්ගොඩ ඤාණානන්ද හාමුදුරුවන්ගේ අනුශාසකත්වයෙනි. හිමියන් විසින් රචිත සියලුම ධර්ම පොත් සහ ධර්ම දේශනා ඔබට ලබාගත හැකිය. මහමෙව්නාව භාවනා අසපුවේ ශාඛා සහ බොරැල්ල වයිඑම්බීඒ ගොඩනැගිල්ලේ ත්‍රිපිටක පොත් මධ්‍යස්ථානයේ දී ලබාගත හැකිය.
0,බුද්ධ පසේබුදු අරහන්තක මහා විහාරය - මාලබේ
0,සුභ උදෑසනක්! ඇස් සුව කරන බුදු රුව දිනපතා පෙනේවා. දිවා රෑ නොබලා මාව සනසන බුදු වදන් මට අසන්නට ලැබේවා. බුදුන්ගේ සිසිලසින් සිතට කරදර කරන ගැටලු නිවේවා. නිවන් දකින තුරුම මගේ සිත බුද්ධ මන්දිරයක් වේවා.!. සාදු..සාදු..සාදු ..!
0,"ආදරණිය කෙනෙකු කියා සිප ගෙන ඇත්තේ සමෙන් වැසී ගිය රුධිරය ඇති, මස් සහ නහර රාශියකි. මිනිස් සිරුර ආදරයෙන් සිප ගැනීමේ යථාර්ථය ඔබට දැක ගත හැකියි නේද? සිදු වූ එකම දෙය නම් ශරීරයෙන් සම ඉවත් කිරීම පමණි. වැරැද්ද ඇත්තේ අප සිතන ආකාරයේ මිස ශරීරයේ නොවෙයි."
0,දැනුම සොයන ඔබ වෙනුවෙන්. නරිබෑනා නාට්‍යයේ නිර්මාතෘ දයානන්ද ගුණවර්ධන
0,"ජිනීවා මානව හිමිකම් කවුන්සිලයේදී ශ්‍රී ලංකා මාතාවට අභූත චෝදනා එල්ල කළ බෙදුම්වාදී කොටි ඩයස්පෝරාවට නොබියව ප්‍රතිචාර දැක්වූ සරත් වීරසේකර මහතා, නාලක ගොඩහේවා මහතා ඇතුළු දේශප්‍රේමී ශ්‍රී ලංකා කණ්ඩායමට අපගේ ප්‍රණාමය!"
0,අපේ ජීවිතයේ එකම වැරැද්ද දෙවරක් සිදු කළහොත් අප මුලින්ම කරන්නේ විඳවිමක් හෝ රස විඳීමයි.
0,බොහෝ විට එක් පුද්ගලයෙකුට බරක් වන්නේ තවත් කෙනෙකුට වටින්නේ නැති දෙයකි.
0,"""ඔබ නිතරම කන්නේ බොන්නේ දගලන්නේ ඇයි? ඔබ මේ ශරීරය රැගෙන යන්නේ කොහේද? හැම විටම කම්මැලි නොවී පින් දහම් කරන්න."
0,භික්ෂූන්ගේ අග්‍ර උපදේශකයා වූයේ මහාකප්පින මහරහතන් වහන්සේ ය.
0,උච්චාරණය කිරීමට පහසුය .. මනසින් ආරක්ෂා කිරීමට අමාරුයි .. වචන ..
0,අපිරිසිදු ශරීරය ගැන නොරැවටෙමු. ඇවිදින සහ ඇවිදින මෙම ශරීරය භාවිතා කිරීමට සිදුවන්නේ ගඳ ගසන අපිරිසිදුකම සමඟ ය. මේ ශරීරයේ සෑම දොරකින්ම ගලා යන ජරා අපිරිසිදුකමයි. වඳුරෙකු උගුලට හසු වූවාක් මෙන්. උගුලට අහුවෙච්ච මුවෙක් වගේ.ඇම  ගිලගත්තු මාළුවෙක් වගේ. මිනිසා මෙම ශරීරයට රැවටී ඇත
0,"රුපියල්. 10,000 රාජ්ය අංශයේ වැටුප් වැඩි කිරීම. එක්සත් ජාතික පක්ෂය. ශක්තිමත් ආර්ථිකයක් ගොඩනැගීම:"
0,එය සිනහවකින් ආරම්භ විය .. සිපවැලද ගැනිමෙන් පැවති  .. කඳුළින් අවසන් විය .. ආදරය ..
0,ඔබේ ශරීරය ඔබේ ලෝකය සැදීමට ගොස් ඔබේ මවගේ සහ පියාගේ සම රැලි වැටී ඇත
